inventoryId,name,description,price,currency,category,allowSpecialInstructions,restaurantid_fk
<default>,Pineapple Fried Rice ,"Stir-fried rice with egg curry powder, onion, cashew nut, pineapple, mixed pea, and carrot.",0,USD,Classic Fried Rice,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Crab Meat Fried Rice ,"Stir-fried rice with egg, premium lump crabmeat, scallion, onion mixed pea and carrot.",2100,USD,Classic Fried Rice,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Chili Fried Rice,Stir-fried rice w/egg/ onion/ long hot chili and spicy house chili paste,0,USD,Classic Fried Rice,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Red Curry,"Red chili paste with coconut milk, bell peppers, basil, eggplant, and bamboo shoots.",0,USD,Curry,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Green Curry,"Green curry paste with coconut milk, bamboo shoots, basil, bell peppers, string bean, and eggplant.",0,USD,Curry,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Panang Curry,"Panang curry paste with coconut milk, kaffir lime leaves, bell pepper, and string bean.",0,USD,Curry,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Massaman Curry ,"Massaman curry with coconut milk, onion, potatoes, and peanut topped with fried onion.",0,USD,Curry,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Jungle Curry,"Hot Thai style clear broth (without coconut milk), basil leaves, bamboo shoots, string bean, krachai, mushroom, bell pepper, carrot, eggplant.",0,USD,Curry,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Basil Sauce,"Onion, string bean, bell pepper, with spicy chili basil sauce.",0,USD,Sauteed,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Ginger Sauce ,"Onion, mushroom, scallion, celery with ginger brown sauce.",0,USD,Sauteed,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Garlic Sauce,With house garlic sauce and with steam mixed vegetable.,0,USD,Sauteed,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Cashew Nut Sauce,"Cashew nut, mushroom, scallion, onion, bell pepper, and pineapple.",0,USD,Sauteed,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Eggplant Basil,"Eggplant, chili paste, bell pepper, basil with spicy chili basil sauce.",0,USD,Sauteed,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Garlic Bokchoy,Sautéed bok choy w/house garlic sauce,0,USD,Sauteed,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Pork Boat Noodle,"Thai style rice noodle with very rich favor of pork, bean sprout, Chinese broccoli, cilantro, scallion, and Chinese celery.",1400,USD,Side Street Food,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Beef Boat Noodle,"Thai style rice noodle with very rich favor of stew beef shank, bean sprout, Chinese broccoli, cilantro, scallion, and Chinese celery.",1500,USD,Side Street Food,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Tom Yum Noodle Soup,"Spicy noodle soup w/ground pork, shrimp, bean sprout, scallion, cilantro and ground peanut side fried crispy wonton",1500,USD,Side Street Food,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Duck Noodle Soup,"Thai style rice noodle rich favor with duck broth and fragrant spices, bean sprout, Chinese broccoli, cilantro, scallion, and Chinese cellary.",1500,USD,Side Street Food,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Kuay Teaw Kua Kai,"Stir-fried flat noodle with chicken, calamari, bean sprout, sesame oil on green leaf lettuce.",1500,USD,Side Street Food,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Bamee Moo Tod,"Steam egg noodles with crispy pork belly, bean sprout, Chinese broccoli, green leaf lettuce, cilantro, scallion.",1400,USD,Side Street Food,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Khao Moo Tod,"Crispy pork belly over rice with jaew sauce side of tomato, cucumber, cilantro, topped with fried onion.",1400,USD,Side Street Food,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Khao Na Ped,Roasted of long island duck with special gravy sauce over rice and side of preserved ginger and Chinese broccoli.,1500,USD,Side Street Food,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Kra Praw Khai Dao,"Sauteed mince (chicken, pork or beef) with chili garlic basil sauce over rice and topped with fried egg.",1400,USD,Side Street Food,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Pad Prik Sod Moo,"Sautéed marinated pork lion, onion, scallion, long hot chili w/classic brown sauce",1400,USD,Side Street Food,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Kra Taim Khai Dao,Sautéed choice of meat w/garlic sauce topped with fried egg and cilantro,1400,USD,Side Street Food,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Khao Pad Kana Pla Kem,"Thai style-salted fish fried rice with egg, onion, Chinese broccoli and fresh chili.",1500,USD,Side Street Food,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Khao Pad Nam,"Thai style- fermented pork with egg, onion, Chinese broccoli and fresh chili.",1500,USD,Side Street Food,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Banana Spring Roll,,800,USD,Dessert,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Homemade Taro Custard,,800,USD,Dessert,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Lava Chocolate Cake,,900,USD,Dessert,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Brown Rice,,300,USD,Side Orders,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Sticky Rice,,300,USD,Side Orders,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Jasmine Rice,,300,USD,Side Orders,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Fried Egg,,300,USD,Side Orders,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Steamed Noodle,,300,USD,Side Orders,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Kamom Jeen,,300,USD,Side Orders,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Steamed Veggie,,500,USD,Side Orders,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Thai Iced Tea,,350,USD,Drinks,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Thai Iced Coffee,,350,USD,Drinks,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Lychee Thai Tea ,,450,USD,Drinks,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Lemon Thai Tea,,450,USD,Drinks,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Mango Thai Tea ,,450,USD,Drinks,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Soda,,300,USD,Drinks,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Sparkling Water,,400,USD,Drinks,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Spring Water,,200,USD,Drinks,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Pad Thai Lunch Special,"Stir-fried thin rice noodle, egg, scallions, bean sprout, and ground peanut",0,USD,Lunch Special,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Pad See Ew Lunch Special,"Stir-fried flat noodle, egg, Chinese broccoli w classic black sweet soy sauce",0,USD,Lunch Special,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Pad Khee Mao Lunch Special,"Stir-fried flat noodle, egg, onion, bell pepper, basil, bok choi w/chili basil sauce",0,USD,Lunch Special,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Thai Fried Rice Lunch Special,"Stir-fried rice w/egg, tomato, onion, Chinese broccoli, and scallion",0,USD,Lunch Special,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Spicy Basil Fried Rice Lunch Special,"Stir-fried rice w/egg, onion, basil, bell pepper and string bean",0,USD,Lunch Special,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Chili Fried Rice Lunch Special,Stir-fried rice w/egg/ onion/ long hot chili and spicy house chili paste,0,USD,Lunch Special,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Green Curry Lunch Special,"Green curry paste with coconut milk, bell pepper, string bean, basil, eggplant and bamboo shoots",0,USD,Lunch Special,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Red Curry Lunch Special,"Red curry paste with coconut milk, bell pepper, basil, eggplant and bamboo shoots",0,USD,Lunch Special,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Panang Curry Lunch Special,"Panang curry paste with coconut milk, kaffir lime, bell pepper, and string bean",0,USD,Lunch Special,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Massaman Curry Lunch Special,"Massaman  curry paste with coconut milk, onion, potatoes and peanut topped with fried onion",0,USD,Lunch Special,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Basil Sauce Lunch Special,"Sautéed choice of your meat, onion, string bean, bell pepper w/spicy chili basil sauce",0,USD,Lunch Special,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Ginger Sauce Lunch Special,"Sautéed choice of your meat, onion, mushroom, scallion, celery w/ginger brown sauce",0,USD,Lunch Special,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Garlic Sauce Lunch Special,"Sautéed choice of your meat, w/house garlic sauce and with steam mixed vegetable",0,USD,Lunch Special,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
<default>,Cashew Nut Sauce Lunch Special,"Sautéed choice of your meat, cashew nut, mushroom, scallion, onion, bell pepper and pineapple",0,USD,Lunch Special,false,2cac56ac-f154-460a-b4db-ef5ab09714d3
